route_id service_id trip_id trip_headsign direction_id block_id shape_id
P90 3 38334160 "West to Oxon Hill P+R" 1 A003 P90:51
P90 3 29757160 "East to Suitland" 0 A003 P90:07
P94 4 24505140 "East to Suitland" 0 A003 P94:03
P93 4 1810140 "West to Birchwood" 1 A003 P93:51
P93 4 7194140 "East to Suitland" 0 A003 P93:05
P90 4 32352140 "West to Oxon Hill P+R" 1 A003 P90:51
P90 4 20272140 "East to Suitland" 0 A003 P90:07
P90 4 25814140 "West to Oxon Hill P+R" 1 A003 P90:51
P90 4 23194140 "East to Suitland" 0 A003 P90:07
P90 4 32851140 "West to Oxon Hill P+R" 1 A003 P90:51
P90 4 15436140 "East to Suitland" 0 A003 P90:07
P90 4 38334140 "West to Oxon Hill P+R" 1 A003 P90:51
P90 4 29757140 "East to Suitland" 0 A003 P90:07
P94 5 24505100 "East to Suitland" 0 A003 P94:03
P93 5 1810100 "West to Birchwood" 1 A003 P93:51
P93 5 7194100 "East to Suitland" 0 A003 P93:05
P90 5 32352100 "West to Oxon Hill P+R" 1 A003 P90:51
P90 5 20272100 "East to Suitland" 0 A003 P90:07
P90 5 25814100 "West to Oxon Hill P+R" 1 A003 P90:51
P90 5 23194100 "East to Suitland" 0 A003 P90:07
P90 5 32851100 "West to Oxon Hill P+R" 1 A003 P90:51
P90 5 15436100 "East to Suitland" 0 A003 P90:07
P90 5 38334100 "West to Oxon Hill P+R" 1 A003 P90:51
P90 5 29757100 "East to Suitland" 0 A003 P90:07
D10 6 21876110 "West to Foggy Bottom" 1 A003 D10:53
D10 6 20191110 "East to Southern Av Station" 0 A003 D10:05
P94 6 30235110 "West to National Harbor" 1 A003 P94:51
P94 6 10801110 "East to Suitland" 0 A003 P94:03
P93 6 34279110 "West to Birchwood" 1 A003 P93:51
P93 6 6943110 "East to Suitland" 0 A003 P93:05
P93 6 11637110 "West to Birchwood" 1 A003 P93:52
P93 6 2048110 "East to Suitland" 0 A003 P93:06
P94 7 24505120 "East to Suitland" 0 A003 P94:03
P93 7 1810120 "West to Birchwood" 1 A003 P93:51
P93 7 7194120 "East to Suitland" 0 A003 P93:05
P90 7 32352120 "West to Oxon Hill P+R" 1 A003 P90:51
P90 7 20272120 "East to Suitland" 0 A003 P90:07
P90 7 25814120 "West to Oxon Hill P+R" 1 A003 P90:51
P90 7 23194120 "East to Suitland" 0 A003 P90:07
P90 7 32851120 "West to Oxon Hill P+R" 1 A003 P90:51
P90 7 15436120 "East to Suitland" 0 A003 P90:07
P90 7 38334120 "West to Oxon Hill P+R" 1 A003 P90:51
P90 7 29757120 "East to Suitland" 0 A003 P90:07
P94 8 24505170 "East to Suitland" 0 A003 P94:03
P93 8 1810170 "West to Birchwood" 1 A003 P93:51
P93 8 7194170 "East to Suitland" 0 A003 P93:05
P90 8 32352170 "West to Oxon Hill P+R" 1 A003 P90:51
P90 8 20272170 "East to Suitland" 0 A003 P90:07
P90 8 25814170 "West to Oxon Hill P+R" 1 A003 P90:51
P90 8 23194170 "East to Suitland" 0 A003 P90:07
P90 8 32851170 "West to Oxon Hill P+R" 1 A003 P90:51
P90 8 15436170 "East to Suitland" 0 A003 P90:07
P90 8 38334170 "West to Oxon Hill P+R" 1 A003 P90:51
P90 8 29757170 "East to Suitland" 0 A003 P90:07
P94 9 24505150 "East to Suitland" 0 A003 P94:03
P93 9 1810150 "West to Birchwood" 1 A003 P93:51
P93 9 7194150 "East to Suitland" 0 A003 P93:05
P90 9 32352150 "West to Oxon Hill P+R" 1 A003 P90:51
P90 9 20272150 "East to Suitland" 0 A003 P90:07
P90 9 25814150 "West to Oxon Hill P+R" 1 A003 P90:51
P90 9 23194150 "East to Suitland" 0 A003 P90:07
P90 9 32851150 "West to Oxon Hill P+R" 1 A003 P90:51
P90 9 15436150 "East to Suitland" 0 A003 P90:07
P90 9 38334150 "West to Oxon Hill P+R" 1 A003 P90:51
P90 9 29757150 "East to Suitland" 0 A003 P90:07
P90 10 17861080 "West to King St-Old Town" 1 A003 P90:52
P90 10 38411080 "East to Suitland" 0 A003 P90:08
P96 10 12923080 "South to Oxon Hill P+R" 1 A003 P96:05
P87 10 8456080 "East to Suitland" 0 A003 P87:03
P96 10 444080 "South to Oxon Hill P+R" 1 A003 P96:05
P96 10 2005080 "North to Suitland" 0 A003 P96:04
P66 10 25159080 "East to Forestville" 0 A003 P66:04
P66 10 26632080 "West to Suitland" 1 A003 P66:52
P94 11 24505020 "East to Suitland" 0 A003 P94:03
P93 11 1810020 "West to Birchwood" 1 A003 P93:51
P93 11 7194020 "East to Suitland" 0 A003 P93:05
P90 11 32352020 "West to Oxon Hill P+R" 1 A003 P90:51
P90 11 20272020 "East to Suitland" 0 A003 P90:07
P90 11 25814020 "West to Oxon Hill P+R" 1 A003 P90:51
P90 11 23194020 "East to Suitland" 0 A003 P90:07
P90 11 32851020 "West to Oxon Hill P+R" 1 A003 P90:51
P90 11 15436020 "East to Suitland" 0 A003 P90:07
P90 11 38334020 "West to Oxon Hill P+R" 1 A003 P90:51
P90 11 29757020 "East to Suitland" 0 A003 P90:07
P94 12 24505060 "East to Suitland" 0 A003 P94:03
P93 12 1810060 "West to Birchwood" 1 A003 P93:51
P93 12 7194060 "East to Suitland" 0 A003 P93:05
P90 12 32352060 "West to Oxon Hill P+R" 1 A003 P90:51
P90 12 20272060 "East to Suitland" 0 A003 P90:07
P90 12 25814060 "West to Oxon Hill P+R" 1 A003 P90:51
P90 12 23194060 "East to Suitland" 0 A003 P90:07
P90 12 32851060 "West to Oxon Hill P+R" 1 A003 P90:51
P90 12 15436060 "East to Suitland" 0 A003 P90:07
P90 12 38334060 "West to Oxon Hill P+R" 1 A003 P90:51
P90 12 29757060 "East to Suitland" 0 A003 P90:07
P90 13 17861010 "West to King St-Old Town" 1 A003 P90:52
P90 13 38411010 "East to Suitland" 0 A003 P90:08
P96 13 12923010 "South to Oxon Hill P+R" 1 A003 P96:05
P87 13 8456010 "East to Suitland" 0 A003 P87:03
P96 13 444010 "South to Oxon Hill P+R" 1 A003 P96:05
P96 13 2005010 "North to Suitland" 0 A003 P96:04
P66 13 25159010 "East to Forestville" 0 A003 P66:04
P66 13 26632010 "West to Suitland" 1 A003 P66:52
D10 14 21876070 "West to Foggy Bottom" 1 A003 D10:53
D10 14 20191070 "East to Southern Av Station" 0 A003 D10:05
P94 14 30235070 "West to National Harbor" 1 A003 P94:51
P94 14 10801070 "East to Suitland" 0 A003 P94:03
P93 14 34279070 "West to Birchwood" 1 A003 P93:51
P93 14 6943070 "East to Suitland" 0 A003 P93:05
P93 14 11637070 "West to Birchwood" 1 A003 P93:52
P93 14 2048070 "East to Suitland" 0 A003 P93:06
P94 1 26447130 "West to National Harbor" 1 A004 P94:51
P94 1 9146130 "East to Suitland" 0 A004 P94:03
P94 1 26280130 "West to National Harbor" 1 A004 P94:51
P94 1 25047130 "East to Suitland" 0 A004 P94:03
P90 1 30787130 "West to King St-Old Town" 1 A004 P90:52
P90 1 21704130 "East to Suitland" 0 A004 P90:08
P90 1 9069130 "West to King St-Old Town" 1 A004 P90:52
P90 1 27772130 "East to Suitland" 0 A004 P90:08
P94 2 26447090 "West to National Harbor" 1 A004 P94:51
P94 2 9146090 "East to Suitland" 0 A004 P94:03
P94 2 26280090 "West to National Harbor" 1 A004 P94:51
P94 2 25047090 "East to Suitland" 0 A004 P94:03
P90 2 30787090 "West to King St-Old Town" 1 A004 P90:52
P90 2 21704090 "East to Suitland" 0 A004 P90:08
P90 2 9069090 "West to King St-Old Town" 1 A004 P90:52
P90 2 27772090 "East to Suitland" 0 A004 P90:08
P94 3 26447160 "West to National Harbor" 1 A004 P94:51
P94 3 9146160 "East to Suitland" 0 A004 P94:03
P94 3 26280160 "West to National Harbor" 1 A004 P94:51
P94 3 25047160 "East to Suitland" 0 A004 P94:03
P90 3 30787160 "West to King St-Old Town" 1 A004 P90:52
P90 3 21704160 "East to Suitland" 0 A004 P90:08
P90 3 9069160 "West to King St-Old Town" 1 A004 P90:52
P90 3 27772160 "East to Suitland" 0 A004 P90:08
P94 4 26447140 "West to National Harbor" 1 A004 P94:51
P94 4 9146140 "East to Suitland" 0 A004 P94:03
P94 4 26280140 "West to National Harbor" 1 A004 P94:51
P94 4 25047140 "East to Suitland" 0 A004 P94:03
P90 4 30787140 "West to King St-Old Town" 1 A004 P90:52
P90 4 21704140 "East to Suitland" 0 A004 P90:08
P90 4 9069140 "West to King St-Old Town" 1 A004 P90:52
P90 4 27772140 "East to Suitland" 0 A004 P90:08
P94 5 26447100 "West to National Harbor" 1 A004 P94:51
P94 5 9146100 "East to Suitland" 0 A004 P94:03
P94 5 26280100 "West to National Harbor" 1 A004 P94:51
P94 5 25047100 "East to Suitland" 0 A004 P94:03
P90 5 30787100 "West to King St-Old Town" 1 A004 P90:52
P90 5 21704100 "East to Suitland" 0 A004 P90:08
P90 5 9069100 "West to King St-Old Town" 1 A004 P90:52
P90 5 27772100 "East to Suitland" 0 A004 P90:08
D10 6 39334110 "West to Foggy Bottom" 1 A004 D10:53
D10 6 291110 "East to Southern Av Station" 0 A004 D10:05
P96 6 8168110 "South to Oxon Hill P+R" 1 A004 P96:05
P96 6 1765110 "North to Suitland" 0 A004 P96:04
P66 6 12217110 "East to Forestville" 0 A004 P66:04
P66 6 2381110 "West to Suitland" 1 A004 P66:52
P93 6 38712110 "West to Birchwood" 1 A004 P93:51
P93 6 39686110 "East to Suitland" 0 A004 P93:05
P94 7 26447120 "West to National Harbor" 1 A004 P94:51
P94 7 9146120 "East to Suitland" 0 A004 P94:03
P94 7 26280120 "West to National Harbor" 1 A004 P94:51
P94 7 25047120 "East to Suitland" 0 A004 P94:03
P90 7 30787120 "West to King St-Old Town" 1 A004 P90:52
