stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
7110,27110,WESTBARD AVE & CROWN ST,,38.960023,-77.107876,,,,,,2
7112,27112,WESTBARD AVE & WESTBARD CIR,,38.96165,-77.106609,,,,,,2
7114,27114,WESTBARD AVE & @5401,,38.964042,-77.106668,,,,,,2
7116,27116,BROOKSIDE DR & WESTBARD AVE,,38.965728,-77.106637,,,,,,2
7118,27118,WESTBARD AVE & BROOKSIDE DR,,38.965512,-77.107205,,,,,,2
7120,27120,WESTBARD AVE & @5400,PRIVATE RD & RIDGEFIELD RD,38.963718,-77.106719,,,,,,2
7122,27122,WESTBARD AVE & WESTBARD CIR,,38.961624,-77.106847,,,,,,2
7124,27124,WESTBARD AVE & CROWN ST,,38.960176,-77.107942,,,,,,2
7125,27125,WESTBARD AVE & MASSACHUSETTS AVE,,38.958568,-77.109506,,,,,,2
7126,27126,WESTERN AVE & CHESAPEAKE ST,,38.95118,-77.097863,,,,,,2
7128,27128,WESTERN AVE & ELLICOTT ST,,38.953475,-77.095002,,,,,,2
7130,27130,WESTERN AVE & FESSEDEN ST,,38.954514,-77.093607,,,,,,2
7132,27132,WESTERN AVE & RIVER RD,,38.956267,-77.091361,,,,,,2
7134,27134,WESTERN AVE & 45 ST,,38.958663,-77.088206,,,,,,2
7138,27138,WESTERN AVE & LIVINGSTON ST,,38.962947,-77.082826,,,,,,2
7140,27140,WESTERN AVE & MCKINLEY ST,,38.964752,-77.080536,,,,,,2
7142,27142,WESTERN AVE & OLIVER ST,,38.966562,-77.078276,,,,,,2
7144,27144,WESTERN AVE & OLIVER ST,,38.966506,-77.078504,,,,,,2
7146,27146,WESTERN AVE & CEDAR PKWY,,38.965176,-77.080234,,,,,,2
7148,27148,WESTERN AVE & LIVINGSTON ST,,38.963388,-77.082573,,,,,,2
7150,27150,WESTERN AVE & 44TH ST,,38.960036,-77.086898,,,,,,2
7152,27152,WESTERN AVE & CORTLAND RD,,38.958684,-77.088692,,,,,,2
7154,27154,WESTERN AVE & RIVER RD,,38.956274,-77.091658,,,,,,2
7156,27156,WESTERN AVE & FESSEDEN ST,,38.954925,-77.093425,,,,,,2
7158,27158,WESTERN AVE & LEROY PL,,38.953313,-77.09543,,,,,,2
7160,27160,WESTERN AVE & ALLAN RD,,38.9513,-77.097984,,,,,,2
7162,27162,WESTLAKE DR & DEMOCRACY BLVD,,39.023295,-77.149831,,,,,,2
7164,27164,WESTLAKE DR & ARIZONA CIR,,39.024488,-77.14928,,,,,,2
7166,27166,WESTLAKE DR & LAKEVIEW DR,,39.026406,-77.14784,,,,,,2
7168,27168,WESTLAKE DR & LAKEVIEW DR,,39.026679,-77.147886,,,,,,2
7170,27170,WESTLAKE DR & ARIZONA CIR,,39.024621,-77.149419,,,,,,2
7172,27172,WESTLAKE DR & DEMOCRACY BLVD,,39.023349,-77.149997,,,,,,2
7174,27174,WESTLAKE TER & AUTO PARK AVE,WESTLAKE TER & MALL RD,39.02662,-77.145994,,,,,,2
7179,27179,WESTMORELAND CIR & WESTERN AVE,,38.949138,-77.100413,,,,,,2
7180,27180,WESTMORELAND CIR & DALECARLIA PKWY,,38.948453,-77.100813,,,,,,2
7182,27182,WHEATON PLZ RING RD RD & RING RD,WHEATON PLZ RING RD CUT,39.037028,-77.052607,,,,,,2
7184,27184,WHEATON STATION & BAY K,UNNAMED ST & UNNAMED ST,39.037982,-77.05119,,,,,,2
7188,27188,WHEATON STATION & BAY L,WHEATON METRO TRANSIT,39.037631,-77.051611,,,,,,2
7190,27190,WHEATON STATION & BAY M,,39.037495,-77.051463,,,,,,2
7196,27196,WHITTIER BLVD & HIGHBORO DR,,38.975977,-77.125592,,,,,,2
7198,27198,WHITTIER BLVD & SHADY OAK LN,,38.977583,-77.124597,,,,,,2
7200,27200,WHITTIER BLVD & LENOX RD,,38.979484,-77.124474,,,,,,2
7202,27202,WHITTIER BLVD & ROBINWOOD RD,,38.981517,-77.125676,,,,,,2
7204,27204,WHITTIER BLVD & PLAINVIEW RD,,38.982754,-77.125881,,,,,,2
7206,27206,WHITTIER BLVD & LANDON LN,,38.985277,-77.126611,,,,,,2
7208,27208,WHITTIER BLVD & KIRBY RD,,38.987271,-77.127516,,,,,,2
7210,27210,WHITTIER BLVD & KIRBY RD,,38.987659,-77.127591,,,,,,2
7212,27212,WHITTIER BLVD & LANDON LN,,38.985475,-77.126835,,,,,,2
7214,27214,WHITTIER BLVD & PLAINVIEW RD,,38.982789,-77.126044,,,,,,2
7216,27216,WHITTIER BLVD & ROBINWOOD RD,,38.981525,-77.125828,,,,,,2
7218,27218,WHITTIER BLVD & LENOX RD,,38.979729,-77.124735,,,,,,2
7220,27220,WHITTIER BLVD & SHADY OAK LN,,38.977607,-77.124744,,,,,,2
7222,27222,WHITTIER BLVD & HIGHBORO DR,,38.976423,-77.12538,,,,,,2
7224,27224,WIGHTMAN RD & GOSHEN RD,,39.188228,-77.187737,,,,,,2
7226,27226,WIGHTMAN RD & BURR OAK DR,,39.188624,-77.189224,,,,,,2
7228,27228,WIGHTMAN RD & SPARROW VALLEY DR,,39.189217,-77.190564,,,,,,2
7230,27230,MONTGOMERY VILLAGE AVE & WIGHTMAN BLVD,,39.19059,-77.192718,,,,,,2
7232,27232,WIGHTMAN RD & SPARROW VALLEY DR,,39.189344,-77.191025,,,,,,2
7234,27234,WIGHTMAN RD & BURR OAK DR,,39.188534,-77.189272,,,,,,2
7236,27236,WILLARD AVE & RIVER RD,,38.960647,-77.096576,,,,,,2
