stop_id stop_code stop_name stop_desc stop_lat stop_lon zone_id stop_url
739 4000011 "S Washington St+Wilkes St" NA 38.800636 -77.047997 NA NA
740 3000325 "Bock Rd+Bock Ter" NA 38.800678 -76.982079 NA NA
741 3000326 "Brinkley+Temple Hill Rd" NA 38.800709 -76.929764 NA NA
742 3000327 "Brinkley Rd+Cherryfield Rd" NA 38.800617 -76.941742 NA NA
746 5000378 "Burke Lake Rd+Lake Braddock Dr" NA 38.800812 -77.265671 NA NA
747 3000329 "Allentown Rd+Brinkley Rd" NA 38.800823 -76.91008 NA NA
749 3000331 "Allentown Rd+Brinkley Rd" NA 38.800915 -76.910088 NA NA
751 5000379 "Burke Lake Rd+Lake Braddock Dr" NA 38.801018 -77.265175 NA NA
752 5000380 "Zion Dr+Hillard Lake Rd" NA 38.80106 -77.296074 NA NA
757 3000333 "Bock Rd+Livingston Rd" NA 38.801205 -76.985336 NA NA
760 5000386 "Lake Braddock Dr+Burke Rd" NA 38.801247 -77.2761 NA NA
763 5000389 "Lake Braddock Dr+Burke Rd" NA 38.801296 -77.276375 NA NA
764 3000334 "Bock Rd+Livingston Rd" NA 38.801392 -76.985733 NA NA
767 5000391 "Lake Braddock Dr+Cotherstone Ct" NA 38.801628 -77.267365 NA NA
769 3000336 "Allentown Rd+Allentown Wy" NA 38.801674 -76.909119 NA NA
770 5000392 "Guinea Rd+Lakepointe Dr" NA 38.801697 -77.284973 NA NA
772 5000393 "Lake Braddock Dr+Wesport Ln" NA 38.801819 -77.274742 NA NA
773 5000394 "Lake Braddock Dr+Wesport Ln" NA 38.801865 -77.275055 NA NA
774 5000395 "Lake Braddock Dr+Cotherstone Ct" NA 38.801929 -77.267784 NA NA
780 3000338 "Oxon Hill Rd+Clipper Wy" NA 38.802479 -76.995415 NA NA
781 4000012 "S Washington St+Duke St" NA 38.802582 -77.04744 NA NA
782 4000013 "S Washington St+Duke St" NA 38.802586 -77.047577 NA NA
783 3000339 "Oxon Hill Rd+Clipper Wy" NA 38.802643 -76.995483 NA NA
785 3000340 "Livingston Rd+Oxon Hill Rd" NA 38.802689 -76.988564 NA NA
789 3000341 "Livingston Rd+Oxon Hill Rd" NA 38.802856 -76.988968 NA NA
796 3000342 "Brinkley Rd+Arbor View Apt" NA 38.80315 -76.949394 NA NA
797 3000343 "Oxon Hill Rd+Livingston Rd" NA 38.803181 -76.991531 NA NA
800 5000411 "Burke Rd+Peppercorn Dr" NA 38.803185 -77.278 NA NA
801 3000344 "Brinkley Rd+Huntley Sq Dr" NA 38.803207 -76.950157 NA NA
807 5000414 "Lake Braddock Dr+Mersea Ct" NA 38.803349 -77.267326 NA NA
809 5000416 "Lake Braddock Dr+Mersea Ct" NA 38.803383 -77.267548 NA NA
816 3000347 "Oxon Hill Rd+Riverside Plaza Apt" NA 38.803604 -76.987404 NA NA
817 4000019 "S Washington St+Prince St" NA 38.803608 -77.047348 NA NA
819 5000420 "Burke Rd+Peppercorn Dr" NA 38.803677 -77.278458 NA NA
820 5000421 "Lake Braddock Dr+Burdett Dr" NA 38.803696 -77.274155 NA NA
821 3000348 "Oxon Hill Rd+Riverside Plz Apt" NA 38.803707 -76.987335 NA NA
823 5000422 "Zion Dr+Grovewood Wy" NA 38.803738 -77.296982 NA NA
824 5000423 "Lake Braddock Dr+Blackburn Dr" NA 38.803764 -77.27433 NA NA
834 3000352 "Brinkley Rd+Huntcrest Condos" NA 38.804047 -76.953049 NA NA
836 3000353 "Brinkley Rd+#3041" NA 38.804073 -76.956665 NA NA
837 3000354 "Brinkley Rd+Huntcrest Condos" NA 38.804146 -76.952713 NA NA
838 3000355 "Brinkley Rd+Brinkley Crest" NA 38.804169 -76.956535 NA NA
840 5000429 "Pommeroy Dr+Chatsworth Ct" NA 38.804314 -77.283279 NA NA
841 3000357 "Oxon Hill Rd+#6188" NA 38.804218 -76.981865 NA NA
843 3000358 "Livingston Rd+Oxon Hill Rd" NA 38.804268 -76.990364 NA NA
844 3000359 "Oxon Hill Rd+Rivertowne Commons" NA 38.804359 -76.981834 NA NA
845 4000023 "S Pickett St+#648" NA 38.804371 -77.132156 NA NA
851 4000025 "S Washington St+King St" NA 38.804607 -77.046959 NA NA
852 5000434 "Burke Rd+Ashbourn Dr" NA 38.804615 -77.2789 NA NA
853 3000361 "Livingston Rd+Oxon Hill Rd" NA 38.804653 -76.990295 NA NA
855 5000435 "Burke Rd+Ashbourn Dr" NA 38.804684 -77.279205 NA NA
857 3000362 "Oxon Hill Rd+John Hanson Ln" NA 38.804764 -76.977013 NA NA
860 3000363 "St Barnabas Rd+John Hanson Ln" NA 38.804798 -76.97419 NA NA
862 3000364 "St Barnabas Rd+John Hanson Ln" NA 38.804844 -76.974243 NA NA
863 3000365 "Brinkley Rd+St Ignatius Dr" NA 38.804867 -76.967438 NA NA
864 3000366 "Brinkley Rd+#2505" NA 38.804916 -76.965401 NA NA
870 5000438 "Zion Dr+Jib Ln" NA 38.805058 -77.297066 NA NA
873 5000439 "Parliament Dr+Rolling Rd" NA 38.805115 -77.252388 NA NA
874 3000368 "Oxon Hill Rd+John Hanson Ln" NA 38.80513 -76.976433 NA NA
875 5000440 "Lake Braddock Dr+Lighthouse La" NA 38.805241 -77.2742 NA NA
876 5000441 "Parliament Dr+Victoria Rd" NA 38.805252 -77.252007 NA NA
879 4000027 "N Washington St+King St" NA 38.805294 -77.046989 NA NA
883 5000443 "Lake Braddock Dr+Tripolis Ct" NA 38.805405 -77.271019 NA NA
884 5000444 "Lake Braddock Dr+Bromyard Ct" NA 38.805416 -77.267204 NA NA
892 5000448 "Lake Braddock Dr+Bromyard Ct" NA 38.805531 -77.267639 NA NA
893 5000449 "Lake Braddock Dr+Wallingford Dr" NA 38.805553 -77.274101 NA NA
895 5000450 "Lake Braddock Dr+Tripolis Ct" NA 38.80558 -77.270493 NA NA
